CODIGO_ACCIDENTE,FECHA,CODIGO_CAUSA
4401684,05/01/2015,157
4401527,05/01/2015,122
4401534,05/01/2015,112
4401544,05/01/2015,103
4401552,05/01/2015,157
4401550,05/01/2015,157
4401550,05/01/2015,157
4401561,05/01/2015,110
4401564,05/01/2015,143
4401566,05/01/2015,121
4401568,05/01/2015,132
4401569,05/01/2015,121
4401571,05/01/2015,157
4401571,05/01/2015,157
4401574,05/01/2015,121
4401575,05/01/2015,121
4401576,05/01/2015,103
4401580,05/01/2015,121
4401578,05/01/2015,157
4401578,05/01/2015,157
4401581,05/01/2015,132
4401583,05/01/2015,132
4401585,05/01/2015,157
4401585,05/01/2015,157
4401586,05/01/2015,103
4401584,05/01/2015,112
4401589,05/01/2015,121
4401591,05/01/2015,121
4401597,05/01/2015,122
4401600,05/01/2015,143
4401607,05/01/2015,121
4401612,05/01/2015,121
4401617,05/01/2015,143
4401623,05/01/2015,132
4401625,05/01/2015,112
4401627,05/01/2015,157
4401630,05/01/2015,103
4401641,05/01/2015,157
4401641,05/01/2015,157
4401647,05/01/2015,127
4401648,05/01/2015,121
4401650,05/01/2015,121
4401649,05/01/2015,121
4401656,05/01/2015,121
4401658,05/01/2015,121
4401685,05/01/2015,103
4404023,05/01/2015,121
4404036,05/01/2015,145
4401613,05/01/2015,411
4401563,05/01/2015,157
4401615,06/01/2015,411
4401735,06/01/2015,102
4401702,06/01/2015,157
4401702,06/01/2015,506
4401598,06/01/2015,121
4401596,06/01/2015,142
4401596,06/01/2015,142
4401595,06/01/2015,112
4401599,06/01/2015,121
4401594,06/01/2015,121
4401603,06/01/2015,112
4401604,06/01/2015,157
4401610,06/01/2015,104
4401609,06/01/2015,112
4401609,06/01/2015,115
4401611,06/01/2015,157
4401614,06/01/2015,103
4401615,06/01/2015,409
4401616,06/01/2015,157
4401618,06/01/2015,407
4401618,06/01/2015,145
4401622,06/01/2015,121
4401620,06/01/2015,506
4401624,06/01/2015,121
4401619,06/01/2015,122
4401619,06/01/2015,116
4401626,06/01/2015,112
4401629,06/01/2015,139
4401632,06/01/2015,112
4401628,06/01/2015,115
4401637,06/01/2015,121
4401638,06/01/2015,121
4401634,06/01/2015,121
4401634,06/01/2015,121
4401642,06/01/2015,121
4401644,06/01/2015,121
4401645,06/01/2015,143
4401652,06/01/2015,121
4401655,06/01/2015,121
4401657,06/01/2015,112
4401659,06/01/2015,121
4401661,06/01/2015,103
4401636,06/01/2015,121
4401662,06/01/2015,121
4401663,06/01/2015,132
4401660,06/01/2015,132
4401664,06/01/2015,121
4401665,06/01/2015,157
4401665,06/01/2015,157
4401666,06/01/2015,121
4401669,06/01/2015,121
4401668,06/01/2015,112
4401670,06/01/2015,157
4401687,06/01/2015,411
4401687,06/01/2015,157
4401690,06/01/2015,103
4401689,06/01/2015,103
4401691,06/01/2015,112
4401694,06/01/2015,112
4401694,06/01/2015,157
4401696,06/01/2015,154
4401697,06/01/2015,123
4401700,06/01/2015,157
4401700,06/01/2015,157
4401707,06/01/2015,157
4401707,06/01/2015,402
4401711,06/01/2015,112
4401715,06/01/2015,157
4401727,06/01/2015,121
4401735,06/01/2015,121
4401744,06/01/2015,157
4401744,06/01/2015,157
4404367,06/01/2015,306
4409732,06/01/2015,121
4401703,07/01/2015,132
4401682,07/01/2015,157
4401681,07/01/2015,112
4401683,07/01/2015,121
4401686,07/01/2015,112
4401688,07/01/2015,121
4401692,07/01/2015,145
4401693,07/01/2015,157
4401695,07/01/2015,103
4401695,07/01/2015,306
4401698,07/01/2015,102
4401699,07/01/2015,121
4401703,07/01/2015,122
4401704,07/01/2015,98
4401705,07/01/2015,157
4401709,07/01/2015,103
4401710,07/01/2015,132
4401712,07/01/2015,409
4401713,07/01/2015,121
4401713,07/01/2015,121
4401716,07/01/2015,409
4401714,07/01/2015,103
4401717,07/01/2015,121
4401719,07/01/2015,121
4401721,07/01/2015,157
4401720,07/01/2015,121
4401722,07/01/2015,112
4401723,07/01/2015,121
4401718,07/01/2015,157
4401725,07/01/2015,103
4401726,07/01/2015,411
4401728,07/01/2015,103
4401729,07/01/2015,157
4401731,07/01/2015,127
4401730,07/01/2015,121
4401733,07/01/2015,121
4401732,07/01/2015,157
4401732,07/01/2015,157
4401734,07/01/2015,121
4401736,07/01/2015,103
4401740,07/01/2015,103
4401737,07/01/2015,134
4401739,07/01/2015,121
4401738,07/01/2015,157
4401741,07/01/2015,132
4401743,07/01/2015,103
4401745,07/01/2015,121
4401746,07/01/2015,157
4401748,07/01/2015,157
4401747,07/01/2015,112
4401753,07/01/2015,157
4401761,07/01/2015,ANT-139
4401766,07/01/2015,121
4401724,07/01/2015,306
4401724,07/01/2015,121
4401780,07/01/2015,145
4401778,07/01/2015,121
4401793,07/01/2015,103
4401803,07/01/2015,132
4401826,07/01/2015,121
4401955,07/01/2015,121
4401959,07/01/2015,143
4401701,07/01/2015,411
4401706,08/01/2015,116
4401774,08/01/2015,157
4401777,08/01/2015,112
4401708,08/01/2015,112
4401767,08/01/2015,157
4401763,08/01/2015,112
4401706,08/01/2015,157
4401706,08/01/2015,157
4401750,08/01/2015,134
4401754,08/01/2015,116
4401757,08/01/2015,121
4401757,08/01/2015,122
4401751,08/01/2015,410
4401752,08/01/2015,119
4401756,08/01/2015,112
4401755,08/01/2015,157
4401758,08/01/2015,121
4401760,08/01/2015,102
4401759,08/01/2015,112
